apple,eggs,yoghurt,pulse,orange,coriander,bun,nuts
cumin,soup,mango,rice,lolly,rice,bread,oil
lemonade,sugar,sugar,nuts,gems,eggs,pear,butter
toffee,nuts,buttermilk,yoghurt,coffee,grapes,jam,jam
bread,bun,chocolates,jam,biscuits,jam,pear,biscuits
pulse,biscuits,nuts,bun,lemonade,turmeric,bread,toffee
pulse,chocolates,fizzy,drink,milk,oil,bun,lemonade
turmeric,coffee,tomato,butter,bun,bun,apple,milk
bread,biscuits,salt,gems,apple,maggi,eggs,cardamom
cumin,bread,turmeric,lemonade,banana,coriander,tang,cereal
eggs,tang,lolly,chocolates,pepper,potato,eggs,cereal
sausages,soup,pear,tomato,lolly,bread,tang,toffee
jam,biscuits,lemonade,lolly,chocolates,turmeric,tea,lolly
fizzy,drink,coriander,pulse,turmeric,toffee,pulse,gems
almonds,cardamom,jam,coffee,almonds,butter,butter,grapes
salt,candy,maggi,lemonade,jam,pulse,pear,cereal
butter,biscuits,fizzy,drink,grapes,coffee,bun,toffee
orange,butter,flour,bun,pepper,gems,tea,almonds
soda,maggi,candy,cardamom,tang,gems,pear,fizzy
biscuits,butter,chips,mango,cashews,cheese,coffee,lemonade
fizzy,drink,apple,orange,coffee,biscuits,bun,gems
milk,almonds,cardamom,pepper,cereal,biscuits,pear,cumin
butter,candy,sausages,coriander,pulse,butter,butter,flour
cheese,toffee,soda,butter,mango,cardamom,tea,cumin
rice,milk,jam,buttermilk,tang,gems,orange,grapes
coriander,oil,soup,nuts,maggi,soda,pulse,onion
oil,coffee,biscuits,cardamom,pear,gems,pear,orange
banana,apple,potato,cereal,salt,candy,bread,coffee
pepper,tomato,cheese,fizzy,nuts,turmeric,butter,salt
candy,ketchup,maggi,butter,grapes,toffee,eggs,tea
sugar,cumin,cheese,yoghurt,banana,almonds,coffee,apple
pepper,cheese,eggs,lolly,milk,chocolates,toffee,tea
soup,tea,toffee,pear,pear,ketchup,jam,butter
pulse,bun,banana,rice,flour,sausages,jam,toffee
apple,coffee,coffee,butter,onion,almonds,coffee,tang
pulse,jam,biscuits,salt,soup,flour,pulse,toffee
soda,eggs,pepper,tomato,salt,yoghurt,tang,cereal
yoghurt,buttermilk,cheese,tea,onion,apple,butter,oil
mango,maggi,milk,toffee,maggi,soda,banana,nuts
bun,sausages,cardamom,cheese,lolly,sausages,pulse,pulse
cumin,apple,butter,cashews,fizzy,gems,toffee,flour
cereal,biscuits,milk,soda,sugar,gems,toffee,maggi
eggs,fizzy,drink,gems,cereal,butter,bun,cumin
almonds,turmeric,coffee,nuts,flour,cashews,butter,sugar
jam,pulse,pear,cashews,candy,cereal,eggs,milk
sausages,turmeric,chips,turmeric,coriander,bread,butter,sausages
cereal,flour,ketchup,apple,potato,banana,coffee,cheese
sugar,orange,potato,turmeric,lolly,buttermilk,banana,pulse
tea,fizzy,drink,banana,yoghurt,eggs,bread,eggs
eggs,butter,bread,cardamom,cashews,apple,bun,potato
lolly,toffee,gems,eggs,eggs,pepper,jam,biscuits
potato,banana,tomato,cardamom,potato,oil,toffee,coriander
pulse,soup,fizzy,drink,cumin,tea,butter,mango
potato,cashews,bread,milk,cashews,milk,orange,apple
orange,candy,onion,cashews,buttermilk,candy,jam,cereal
mango,pulse,chips,milk,pulse,oil,bun,biscuits
cheese,yoghurt,jam,rice,mango,flour,coffee,pear
apple,grapes,sugar,toffee,biscuits,yoghurt,tea,soda
